customer_id,segment,region,total_orders,total_sales,total_profit,total_quantity,first_order_date,last_order_date,repeat_customer,avg_order_value,revenue_contribution_pct,profit_contribution_pct
SM-20320,Home Office,South,5,25043.05,-1980.7393000000002,50,2023-03-18,2026-10-12,True,5008.61,1.0764100669183918,-0.6776465568776678
TC-20980,Corporate,Central,5,19052.218,8981.3239,42,2023-11-07,2025-11-26,True,3810.4436,0.8189098074046007,3.072672520325167
RB-19360,Consumer,East,6,15117.339,6976.0959,71,2025-04-01,2026-09-25,True,2519.5565,0.6497793154035955,2.3866479385163992
TA-21385,Home Office,Central,4,14595.62,4703.7883,36,2023-09-12,2026-10-22,True,3648.905,0.6273545874370501,1.609250619592623
AB-10105,Consumer,Central,10,14473.571,5444.8054999999995,73,2023-12-20,2026-11-19,True,1447.3571,0.6221086300853168,1.8627659379220618
KL-16645,Consumer,West,12,14175.229,806.8549999999999,113,2023-07-25,2026-11-13,True,1181.2690833333334,0.60928517878108,0.27603961442554836
SC-20095,Consumer,West,9,14142.334,5757.411899999999,87,2023-02-12,2026-01-15,True,1571.3704444444445,0.6078712731605075,1.9697142125475626
HL-15040,Consumer,South,6,12873.297999999999,5622.4292,50,2023-01-20,2026-11-17,True,2145.5496666666663,0.5533250766835668,1.9235342019358428
SE-20110,Consumer,West,11,12209.438,2650.6769,78,2023-04-11,2026-12-21,True,1109.9489090909092,0.5247907892455573,0.906844265007601
CC-12370,Consumer,East,5,12129.072,2177.0493,34,2025-05-23,2026-11-17,True,2425.8144,0.5213364667314081,0.7448077403714547
TS-21370,Corporate,West,6,11891.751,2371.7144000000003,59,2023-10-28,2026-11-24,True,1981.9585,0.5111358436646835,0.8114061739761431
GT-14710,Consumer,East,11,11820.119999999999,2163.4268999999995,106,2023-05-23,2026-11-24,True,1074.5563636363636,0.5080569723010343,0.7401472722036293
BM-11140,Consumer,Central,4,11789.630000000001,-1659.9581,64,2023-09-08,2026-02-26,True,2947.4075000000003,0.5067464393212121,-0.567901536070999
SV-20365,Consumer,East,10,11470.95,1199.4242000000002,109,2023-01-11,2026-09-20,True,1147.095,0.4930488122300409,0.4103446018190033
CJ-12010,Consumer,East,8,11164.974,858.7414,83,2025-03-10,2026-06-24,True,1395.62175,0.4798972333833979,0.293790885533653
CL-12565,Consumer,South,12,10880.546,1933.7831,106,2023-03-04,2026-03-21,True,906.7121666666667,0.467671839011967,0.6615819959058836
ME-17320,Home Office,South,10,10663.728000000001,1859.4695,82,2023-01-06,2026-11-18,True,1066.3728,0.45835248382603266,0.6361579761122721
KF-16285,Home Office,West,7,10604.266,1660.1386,67,2023-09-26,2026-09-24,True,1514.895142857143,0.4557966651298634,0.5679632883690002
BS-11365,Corporate,West,5,10501.653,2616.0644,39,2023-05-04,2025-06-20,True,2100.3306000000002,0.45138611345198487,0.8950027059241173
JE-15715,Consumer,Central,12,10461.458999999999,1443.1773999999998,129,2023-08-25,2026-11-14,True,871.78825,0.44965847938865317,0.4937369577478795
EH-13765,Corporate,West,12,10310.880000000001,1393.5153999999998,120,2023-04-12,2026-08-17,True,859.2400000000001,0.44318623453563,0.47674669390666696
JL-15835,Consumer,West,11,9799.923,228.90700000000004,143,2023-04-18,2026-12-09,True,890.9020909090909,0.4212240830180464,0.07831320375942272
GT-14635,Corporate,East,3,9351.212,-4108.6589,26,2023-06-06,2026-11-04,True,3117.0706666666665,0.40193741316205767,-1.4056461428163647
HW-14935,Corporate,Central,8,9300.254,2164.1611,85,2024-09-27,2026-09-04,True,1162.53175,0.3997471166849901,0.7403984552351669
TB-21400,Consumer,South,7,9133.99,2798.3689,55,2023-01-21,2026-06-11,True,1304.8557142857142,0.39260069309177276,0.9573723558463986
PF-19120,Consumer,South,4,9062.864,-614.2943000000002,75,2023-05-05,2024-09-17,True,2265.716,0.38954352783356194,-0.21016113392841618
CM-12385,Consumer,South,4,8954.02,3899.8903999999998,34,2024-03-16,2026-11-23,True,2238.505,0.38486515290224704,1.3342226822885124
JW-15220,Corporate,East,10,8846.354000000001,2530.5094,154,2023-01-21,2026-11-18,True,884.6354000000001,0.38023741122282567,0.865732800907506
JD-16150,Corporate,West,8,8828.0305,1619.5198999999998,60,2023-11-16,2026-11-19,True,1103.5038125,0.3794498234545155,0.5540669001871497
LA-16780,Corporate,South,11,8673.222,2059.1199,105,2023-04-29,2026-07-29,True,788.4747272727273,0.372795784595649,0.704461970554776
PK-19075,Consumer,Central,12,8646.934,2038.2676000000001,107,2023-11-11,2026-12-21,True,720.5778333333333,0.37166586360602705,0.697328023498755
GG-14650,Corporate,West,11,8584.092,1415.2423000000001,133,2023-10-05,2026-11-17,True,780.3720000000001,0.3689647644417765,0.48417985736064884
BF-11170,Home Office,East,13,8430.144,1980.3261,146,2023-04-13,2026-12-14,True,648.4726153846154,0.362347711926929,0.6775051937223541
DR-12940,Home Office,West,8,8350.868,2869.0759999999996,57,2023-03-28,2026-11-10,True,1043.8585,0.3589402402146167,0.9815625270929653
NF-18385,Consumer,South,7,8322.826,-1695.9714000000004,52,2023-02-11,2026-10-12,True,1188.9751428571428,0.35773492811818564,-0.580222334041132
KD-16270,Consumer,Central,5,8282.358,1107.6952000000003,64,2023-11-11,2025-09-02,True,1656.4716,0.3559955168808143,0.3789624603045538
NC-18535,Corporate,West,7,8241.739,1314.7580000000003,64,2023-07-23,2026-12-24,True,1177.3912857142857,0.35424961530300497,0.4498023701692438
HM-14860,Corporate,Central,10,8236.7648,2437.9835999999996,76,2023-07-21,2026-12-28,True,823.6764800000001,0.35403581231355824,0.8340780597750653
KD-16495,Corporate,South,12,8181.256,3038.6254000000004,84,2023-09-28,2026-09-09,True,681.7713333333334,0.3516499115897023,1.0395684277840231
SB-20290,Corporate,South,7,8057.891,-2082.745100000001,84,2023-05-09,2026-11-13,True,1151.1272857142856,0.3463473894166687,-0.7125445765976545
ZC-21910,Consumer,West,13,8025.707,-1032.149,105,2023-10-13,2026-11-06,True,617.362076923077,0.34496404427325766,-0.3531167458709623
JH-15985,Consumer,West,6,7954.9980000000005,-644.6981999999999,64,2023-08-09,2026-12-01,True,1325.833,0.34192480267042846,-0.22056285522038663
NP-18700,Consumer,East,7,7903.1825,631.2281999999999,63,2023-09-05,2026-08-14,True,1129.0260714285714,0.3396976487965029,0.2159545258349182
AH-10690,Corporate,South,12,7888.294,1298.0166,102,2023-04-02,2025-11-15,True,657.3578333333334,0.3390577055275594,0.44407483597667646
AB-10060,Home Office,West,8,7755.619999999999,2054.5885,56,2024-09-18,2026-11-06,True,969.4524999999999,0.3333550603138841,0.7029116970746488
JE-15610,Corporate,East,7,7754.976,1623.4019,74,2023-10-14,2026-11-12,True,1107.8537142857142,0.3333273796566521,0.55539500224167
LC-16885,Consumer,South,12,7663.126,1288.3469,93,2023-04-25,2026-12-14,True,638.5938333333334,0.3293794474101225,0.44076665760558037
JM-15865,Consumer,East,7,7625.076,1574.6163999999999,50,2023-11-19,2026-09-12,True,1089.2965714285715,0.32774396758453234,0.5387046048226076
JD-15895,Corporate,West,11,7610.8640000000005,1050.2668,150,2023-03-26,2025-12-01,True,691.8967272727273,0.3271331019003987,0.35931517127111384
PO-18850,Consumer,Central,11,7473.8282,38.4756999999999,91,2023-11-02,2026-12-26,True,679.4389272727273,0.32124297611107927,0.013163229319708057
MS-17365,Consumer,Central,10,7443.6900000000005,844.9355,105,2023-09-09,2026-04-01,True,744.369,0.31994756433500565,0.2890676387138432
