well_id,well_name,field_id,producing_days,oil_bbl,potential_bbl,loss_bbl,downtime_hours,avg_water_cut_pct,avg_pressure_psi,lost_revenue_usd,avg_oil_rate_bbl_d,loss_pct,rank_by_loss_bbl,rank_by_loss_pct
WELL-0002,PNX-102,FIELD-001,1096,1779512.7,1941142.0,161629.30000000002,1395.96,41.94027372262774,3618.540739051095,11167896.524,1623.6429744525547,8.326505737344306,1,58
WELL-0027,PNX-209,FIELD-002,742,650539.7313851,718697.8,68158.0794414,1117.61,26.259986522911053,2874.05128032345,4719530.915303726,876.7381824597036,9.483551979900312,2,24
WELL-0031,PNX-213,FIELD-002,1096,504449.3599581,565967.3,61517.9400419,2019.18,47.57236313868613,3670.0920620437955,4355836.665917104,460.2640145603102,10.869521974485098,3,2
WELL-0021,PNX-203,FIELD-002,799,549460.4055531,608228.9,58768.4944469,1326.28,21.24453066332916,3385.4688360450564,4084685.506151581,687.6851133330414,9.662233157105819,4,18
WELL-0056,PNX-408,FIELD-004,457,466641.8593166,516092.5,49450.64068339999,731.62,33.6653829321663,2667.128774617068,3427070.3287373898,1021.098160430197,9.581739839931794,5,20
WELL-0037,PNX-303,FIELD-003,482,445856.6346506,494986.9,49130.2653494,815.43,32.46377593360996,2672.432780082988,3249458.778391359,925.0137648352697,9.925568807861378,6,16
WELL-0022,PNX-204,FIELD-002,1028,401920.7414663,447329.8,45409.059731,1728.81,34.94881322957198,3026.661624513619,3271929.9115849943,390.9734839166342,10.151136752123378,7,12
WELL-0009,PNX-109,FIELD-001,1096,489348.3456512,534662.5,45314.1543488,1431.09,47.24994525547446,2174.913594890511,3144953.855632129,446.4857168350365,8.475281948668554,8,53
WELL-0033,PNX-215,FIELD-002,969,382126.2982981,425098.6,42972.3167473,1652.83,32.05603715170279,3855.7369969040246,3064189.848352168,394.35118503415896,10.108788113463559,9,13
WELL-0032,PNX-214,FIELD-002,568,321550.5,361974.8,40424.3,1110.92,17.42392605633803,2133.761707746479,2795795.733,566.1100352112676,11.16771112243173,10,1
WELL-0059,PNX-411,FIELD-004,783,385237.1743144,425311.0,40073.8256856,1193.88,33.81491698595147,3682.3663473818647,2773106.3881420433,492.00149976296296,9.422240592319502,11,27
WELL-0042,PNX-308,FIELD-003,770,379148.427941,419190.6,40042.172059000004,1195.57,35.40544155844156,2462.7725324675325,2633420.3611923023,492.4005557675324,9.5522590580514,12,21
WELL-0023,PNX-205,FIELD-002,1047,335184.4468127,374711.9,39527.4531873,1764.03,34.40510983763133,3409.099713467049,2830587.361947781,320.1379625718243,10.548758442766296,13,6
WELL-0047,PNX-313,FIELD-003,771,384150.8241002,423131.7,38980.8758998,1160.5,11.980791180285344,3273.09046692607,2553993.398714452,498.25009610920887,9.212468812854247,14,34
WELL-0048,PNX-314,FIELD-003,718,337689.7696,373831.9,36142.1304,1095.81,22.416016713091924,3638.3946378830083,2356126.4269158,470.32001337047353,9.668016667384457,15,17
WELL-0036,PNX-302,FIELD-003,925,352967.2865989,388597.7,35630.4134011,1333.99,35.03211891891892,3224.4904324324325,2383072.261385117,381.58625578259455,9.168971767228678,16,35
WELL-0049,PNX-401,FIELD-004,1096,360476.8797501,395665.5,35188.6202499,1584.94,49.3996897810219,2762.0548357664234,2466495.444708137,328.9022625457117,8.893527550392944,17,41
WELL-0016,PNX-116,FIELD-001,1095,308376.0174885,340932.6,32556.5825115,1783.36,35.04223744292238,2004.9675799086758,2251021.760779604,281.62193377945204,9.549272352218592,18,22
WELL-0015,PNX-115,FIELD-001,427,298449.5854764,328443.4,29993.8145236,625.05,24.088899297423886,2437.0132318501173,2064311.392207028,698.945165050117,9.132110593058043,19,36
WELL-0004,PNX-104,FIELD-001,909,247916.1557392,273852.1,25935.9484398,1414.85,32.492013201320134,3961.9005500550056,1793771.635163137,272.73504481760176,9.470786764023355,20,25
WELL-0035,PNX-301,FIELD-003,822,247135.7868428,271001.8,23866.0131572,1172.14,34.72597323600973,3631.9878953771286,1565685.8483673169,300.6518088111922,8.80658842753074,21,46
WELL-0057,PNX-409,FIELD-004,448,247714.9584702,271008.6,23293.641529800003,627.35,21.216852678571428,2768.4200892857143,1618824.158669606,552.9351751566965,8.595166917138425,22,50
WELL-0028,PNX-210,FIELD-002,1096,208162.1686058,231299.7,23137.5313942,1857.8700000000001,48.11805656934307,2594.9610401459854,1637169.674482062,189.92898595419706,10.003269089497305,23,14
WELL-0024,PNX-206,FIELD-002,1096,191120.0533582,212998.6,21878.5481093,1871.38,40.613138686131386,3641.472262773723,1548893.525550739,174.3796107282847,10.271686344088646,24,8
WELL-0055,PNX-407,FIELD-004,1093,190430.4033956,210735.5,20305.0966044,1708.17,60.020347666971645,3063.380558096981,1426953.906979865,174.22726751655992,9.635346965461444,25,19
WELL-0011,PNX-111,FIELD-001,650,186161.4,205697.7,19536.3,1021.04,38.92736923076923,3817.6804615384613,1315410.533,286.40215384615385,9.49757824224578,26,23
WELL-0041,PNX-307,FIELD-003,426,163678.8575372,182870.0,19191.1424628,779.75,25.258708920187793,3973.626877934272,1280241.38832373,384.22267027511737,10.49441814556789,27,7
WELL-0017,PNX-117,FIELD-001,1094,158530.7269867,174859.2,16328.4730133,1669.9,61.632605118829986,2447.24063071298,1130751.580772133,144.90925684341866,9.338069151237109,28,30
WELL-0012,PNX-112,FIELD-001,1094,144983.2400845,159984.7,15001.489397,1749.14,79.06400365630714,2633.031901279707,1038468.989752752,132.52581360557588,9.37682753225777,29,29
WELL-0025,PNX-207,FIELD-002,1096,126237.6951795,141174.7,14937.0048205,1940.39,44.38796532846715,2908.3151916058396,1054319.3495496681,115.18037881341242,10.580511111764359,30,5
WELL-0008,PNX-108,FIELD-001,1095,143615.6810476,157848.7,14233.0189524,1577.31,46.35977168949771,2650.0479908675798,984324.589811768,131.15587310283104,9.016874356519882,31,37
WELL-0050,PNX-402,FIELD-004,1093,149981.5558598,163951.8,13970.2441402,1414.8,79.73486733760294,2115.102470265325,980271.773026969,137.22008770338516,8.520945875678096,32,51
WELL-0054,PNX-406,FIELD-004,1094,138430.6156878,151940.1,13509.486408499999,1541.03,51.99392138939671,3218.9244972577694,947604.7344989739,126.53621178043875,8.891323889151053,33,42
WELL-0051,PNX-403,FIELD-004,1096,128798.4015287,142171.0,13372.6005608,1689.3799999999999,59.09419708029197,1857.589689781022,938198.684690532,117.51678971596715,9.405997398062896,34,28
WELL-0040,PNX-306,FIELD-003,1095,117786.1966733,129848.2,12062.0033267,1621.71,48.64871232876712,2920.287899543379,807895.977281571,107.56730289799087,9.289311154640572,35,31
WELL-0034,PNX-216,FIELD-002,1095,87352.5766043,97783.8,10431.223395699999,1972.07,68.64257534246575,2633.83799086758,741311.766454211,79.77404256100456,10.667639625070818,36,4
WELL-0006,PNX-106,FIELD-001,1096,97314.219481,107219.6,9905.3830818,1671.39,71.49755474452556,2480.662636861314,684990.97368278,88.79034624178831,9.238407046659379,37,33
WELL-0003,PNX-103,FIELD-001,1096,92618.0441547,101615.1,8997.0662112,1554.27,58.31331204379562,3003.909397810219,620382.861354713,84.50551473968977,8.854064219983055,38,45
WELL-0053,PNX-405,FIELD-004,1095,86066.6433704,94437.0,8370.3566296,1588.39,52.643287671232876,2658.6601369863015,586238.56153142,78.59967431086757,8.863429195760137,39,44
WELL-0010,PNX-110,FIELD-001,1094,83748.106701,91513.2,7765.099999999999,1447.39,67.46839122486288,2947.377193784278,536531.924,76.5521999095064,8.485223989544679,40,52
WELL-0052,PNX-404,FIELD-004,1096,71083.294023,78358.1,7274.8693892,1718.1200000000001,45.113083941605844,3378.860583941606,508595.399826785,64.8570200939781,9.284131939391077,41,32
WELL-0026,PNX-208,FIELD-002,1095,56433.8140716,63225.9,6792.0859284,2001.31,78.40783561643836,2730.361917808219,481512.95325092104,51.537729745753424,10.742568992137715,42,3
WELL-0014,PNX-114,FIELD-001,1096,72717.0244035,79427.1,6710.0755965,1473.41,50.20397810218978,1922.5120437956207,462769.744533843,66.34765000319344,8.448093404518104,43,54
WELL-0038,PNX-304,FIELD-003,1096,69181.6707896,75839.8,6658.1292104,1533.77,60.2109306569343,2899.795848540146,447067.274858397,63.121962399270075,8.779201963085345,44,47
WELL-0013,PNX-113,FIELD-001,1095,69832.7276019,76474.7,6641.9723981,1456.11,58.87200913242009,2402.624383561644,460700.10385082,63.77418045835616,8.685189216956719,45,49
WELL-0058,PNX-410,FIELD-004,1094,71369.5946586,77880.2,6510.605341400001,1442.34,68.35989031078611,1964.0377970749544,456913.67808511003,65.23728945027423,8.359769673678292,46,56
WELL-0005,PNX-105,FIELD-001,1096,67189.8496117,73332.1,6142.2704641,1391.94,44.823366788321174,2187.6264142335763,426296.431113232,61.30460730994526,8.375964228625662,47,55
WELL-0045,PNX-311,FIELD-003,1095,57221.133194,62862.0,5640.866806,1614.94,77.1954611872146,2403.775799086758,377468.47477610403,52.256742642922376,8.973412882186375,48,38
WELL-0060,PNX-412,FIELD-004,1095,50540.9683551,55810.4,5269.4515584,1687.86,62.330602739726025,1836.5223287671233,367725.466758809,46.15613548410959,9.441701830483208,49,26
WELL-0029,PNX-211,FIELD-002,1095,45118.229671,50127.8,5009.5897624,1829.32,66.01814611872146,2159.6732420091325,352318.189266521,41.20386271324201,9.993635791716372,50,15
WELL-0046,PNX-312,FIELD-003,1094,51386.2403207,56391.6,5005.3877137,1495.38,66.9885100548446,2482.7201096892136,335619.710600816,46.970969214533824,8.876122886564666,51,43
WELL-0044,PNX-310,FIELD-003,1096,49088.986977,53778.2,4689.213023,1506.98,39.949233576642335,2986.5994525547444,315168.531137642,44.78922169434307,8.719542533963578,52,48
WELL-0007,PNX-107,FIELD-001,1096,49817.8124554,54343.6,4525.7875446,1454.56,52.88037408759124,2585.763275547445,313337.61520442,45.45420844470803,8.328096674861436,53,57
WELL-0030,PNX-212,FIELD-002,1096,35666.956718,39732.7,4065.743282,1876.11,59.12482664233576,2895.2324817518247,288411.313298411,32.54284372080292,10.232738479891879,54,10
WELL-0019,PNX-201,FIELD-002,1094,31529.4767666,35115.1,3585.6232334,1860.2,52.060932358318105,2386.4322669104204,254091.361794514,28.820362675137112,10.211058016067163,55,11
