field_id,year,avg_pressure_psi,avg_water_cut_pct
FIELD-001,2022,2636.1003718130314,52.94794794617564
FIELD-001,2023,2689.341320174729,53.42065685164213
FIELD-001,2024,2643.6525668286754,54.44702764277035
FIELD-002,2022,2989.000261951539,48.033145601397074
FIELD-002,2023,2944.4518681706027,46.48182410997533
FIELD-002,2024,2845.6138328776487,50.48279562542721
FIELD-003,2022,2806.532020547945,52.55137328767124
FIELD-003,2023,2946.006452323277,43.946972032591944
FIELD-003,2024,2930.4733645772308,46.154504979496195
FIELD-004,2022,2610.8025675675676,55.33646846846847
FIELD-004,2023,2663.586992933787,54.64745092907616
FIELD-004,2024,2617.843141945774,53.98909318751424
