month,oil_bbl,potential_bbl,loss_bbl,wells,days,avg_daily_oil_bbl,loss_pct
2022-01-01,239819.6645152,260071.1,20251.4354848,41,31,7736.118210167742,7.786884234657369
2022-02-01,216334.7896749,238798.4,22463.6103251,42,28,7726.242488389286,9.406935023475869
2022-03-01,250566.192361,288982.5,38416.307639,43,31,8082.780398741936,13.293644991997784
2022-04-01,260612.8025637,280530.9,19918.0974363,43,30,8687.09341879,7.1001438473622684
2022-05-01,275173.6792029,301232.4,26058.7207971,44,31,8876.570296867741,8.650703177048683
2022-06-01,264228.624972,294954.4,30725.775028,45,30,8807.6208324,10.417127199323012
2022-07-01,289708.8571455,323123.1,33414.2449508,46,31,9345.44700469355,10.341026361408392
2022-08-01,293008.5626891,319354.6,26346.037310900003,46,31,9451.889119003225,8.249775425467492
2022-09-01,279600.5199688,301801.0,22200.4800312,46,30,9320.017332293333,7.355999493441042
2022-10-01,300418.1507759,329257.5,28839.3492241,48,31,9690.90808954516,8.758904269181414
2022-11-01,341584.9579987,366223.7,24638.7742147,51,30,11386.165266623333,6.727793481060893
2022-12-01,379010.612916,421208.6,42198.0069975,52,31,12226.148803741937,10.018315627339993
2023-01-01,416913.5507274,451255.9,34342.349272600004,53,31,13448.824217012903,7.610393409282849
2023-02-01,376375.6637037,408544.1,32168.4844065,53,28,13441.987989417858,7.873931946759236
2023-03-01,402078.8226735,445009.0,42930.2021693,54,31,12970.284602370968,9.647041333838192
2023-04-01,395254.0652392,430704.5,35450.459138000006,54,30,13175.135507973335,8.230807697156637
2023-05-01,398419.148943,433596.6,35177.451057,54,31,12852.230611064517,8.112944395089814
2023-06-01,378328.4268389,422732.1,44403.6731611,55,30,12610.947561296667,10.503974777666517
2023-07-01,392519.994057,439204.8,46684.805943,55,31,12661.93529216129,10.62939338162971
2023-08-01,379491.3661518,432124.8,52633.4338482,55,31,12241.656972638708,12.180146533640283
2023-09-01,406600.1012857,446765.9,40165.7987143,56,30,13553.336709523333,8.990345662974725
2023-10-01,474452.7465502,520932.8,46480.0534498,59,31,15304.927308070966,8.92246628544027
2023-11-01,477751.5473354,546578.3,68826.7526646,60,30,15925.051577846667,12.592295132207042
2023-12-01,501631.1308021,546075.8,44444.7095059,60,31,16181.649380712903,8.138926776447517
2024-01-01,486987.8840048,529928.1,42940.2159952,60,31,15709.2865808,8.10302680593839
2024-02-01,447195.6261693,481900.5,34704.8738307,60,29,15420.538833424138,7.201667944046542
2024-03-01,456257.2085688,502523.1,46265.8976997,60,31,14717.974469961291,9.20672058651632
2024-04-01,417118.2010019,476069.5,58951.309364,60,30,13903.940033396668,12.382920847481303
2024-05-01,439994.09410550003,478936.0,38941.9371273,60,31,14193.35787437097,8.130927123310839
2024-06-01,421225.4623255,452098.6,30873.137674499998,60,30,14040.848744183333,6.8288505371394645
2024-07-01,379372.1791145,456222.9,76850.7208855,60,31,12237.8122295,16.844994165242472
2024-08-01,397935.2421205,444602.3,46667.0798757,60,31,12836.620713564516,10.496364925620043
2024-09-01,388861.9137819,423941.5,35079.5862181,60,30,12962.063792730001,8.274628980201278
2024-10-01,383856.4764964,427125.4,43268.9235036,60,31,12382.466983754839,10.130262331296617
2024-11-01,361767.6148695,404894.9,43127.2851305,60,30,12058.92049565,10.651476501803307
2024-12-01,381843.1769171,409122.1,27278.9230829,60,31,12317.521836035483,6.667672825031941
